age,systolic,diastolic,heart_rate,respiration_rate,allow_ride,suggestion
14,100,70,45,80,NO,"Always bring your water. Get enough rest until your vital sign is back to normal. For immediate treatment, Lie Down and Take Deep Breaths. For Long Term treatment, consult your Doctor. Ask for recommended maintenance for your Blood Pressure, Heart Rate, and Respiration Rate."
15,101,71,46,81,NO,"Always bring your water. Get enough rest until your vital sign is back to normal. For immediate treatment, Lie Down and Take Deep Breaths. For Long Term treatment, consult your Doctor. Ask for recommended maintenance for your Blood Pressure, Heart Rate, and Respiration Rate."
16,102,72,46,82,NO,"Always bring your water. Get enough rest until your vital sign is back to normal. For immediate treatment, Lie Down and Take Deep Breaths. For Long Term treatment, consult your Doctor. Ask for recommended maintenance for your Blood Pressure, Heart Rate, and Respiration Rate."
17,103,73,47,83,NO,"Always bring your water. Get enough rest until your vital sign is back to normal. For immediate treatment, Lie Down and Take Deep Breaths. For Long Term treatment, consult your Doctor. Ask for recommended maintenance for your Blood Pressure, Heart Rate, and Respiration Rate."
18,104,73,48,84,NO,"Always bring your water. Get enough rest until your vital sign is back to normal. For immediate treatment, Lie Down and Take Deep Breaths. For Long Term treatment, consult your Doctor. Ask for recommended maintenance for your Blood Pressure, Heart Rate, and Respiration Rate."
19,105,73,48,85,NO,"Always bring your water. Get enough rest until your vital sign is back to normal. For immediate treatment, Lie Down and Take Deep Breaths. For Long Term treatment, consult your Doctor. Ask for recommended maintenance for your Blood Pressure, Heart Rate, and Respiration Rate."
20,106,74,48,83,NO,"Always bring your water. Get enough rest until your vital sign is back to normal. For immediate treatment, Lie Down and Take Deep Breaths. For Long Term treatment, consult your Doctor. Ask for recommended maintenance for your Blood Pressure, Heart Rate, and Respiration Rate."
21,106,74,48,83,NO,"Always bring your water. Get enough rest until your vital sign is back to normal. For immediate treatment, Lie Down and Take Deep Breaths. For Long Term treatment, consult your Doctor. Ask for recommended maintenance for your Blood Pressure, Heart Rate, and Respiration Rate."
22,107,75,49,84,NO,"Always bring your water. Get enough rest until your vital sign is back to normal. For immediate treatment, Lie Down and Take Deep Breaths. For Long Term treatment, consult your Doctor. Ask for recommended maintenance for your Blood Pressure, Heart Rate, and Respiration Rate."
23,107,75,49,84,NO,"Always bring your water. Get enough rest until your vital sign is back to normal. For immediate treatment, Lie Down and Take Deep Breaths. For Long Term treatment, consult your Doctor. Ask for recommended maintenance for your Blood Pressure, Heart Rate, and Respiration Rate."
24,108,75,47,85,NO,"Always bring your water. Get enough rest until your vital sign is back to normal. For immediate treatment, Lie Down and Take Deep Breaths. For Long Term treatment, consult your Doctor. Ask for recommended maintenance for your Blood Pressure, Heart Rate, and Respiration Rate."
